concat(annotationID,' ',annotationURI)
1 info:doi/10.1371/annotation/00011c11-fd1c-4a4b-ad63-80a588915ba5
3 info:doi/10.1371/annotation/0002265e-33e9-48e8-8bd1-ac3e70e47b0f
66713 info:doi/10.1371/annotation/00052d0e-1d9d-4403-bc82-840015c80037
72743 info:doi/10.1371/annotation/0009d011-bc04-4a8f-994c-aaa508897301
5 info:doi/10.1371/annotation/001231ea-e174-46c1-9c43-6c456047a7a4
50455 info:doi/10.1371/annotation/0012b446-7189-41f0-afc8-10152b2e2c37
51041 info:doi/10.1371/annotation/0012bb5e-72e0-4ad2-82ca-ce17e8acd3aa
78719 info:doi/10.1371/annotation/0014f4c5-a208-4022-b8de-793b2404dc0e
84732 info:doi/10.1371/annotation/0016c3a4-228b-4579-a571-71f9c9332cd1
59803 info:doi/10.1371/annotation/001bf099-8739-4b9e-942d-defdf02422fb
67577 info:doi/10.1371/annotation/0020403f-cc5b-4060-9c35-1e4c1b21957b
64323 info:doi/10.1371/annotation/0020c385-af46-4c91-b761-ced45e6b71eb
9 info:doi/10.1371/annotation/00239500-54fb-4684-8de9-1f241a31dfa3
11 info:doi/10.1371/annotation/00251f1e-f4a6-49af-ab3a-d9d4ecd6ad1b
49625 info:doi/10.1371/annotation/002a7cbb-9b81-4f3c-8a29-971773036e37
13 info:doi/10.1371/annotation/0033fb83-619a-4d88-a877-2789d6259810
88015 info:doi/10.1371/annotation/00363d73-0f4e-4956-aeeb-42c0e33d9cec
15 info:doi/10.1371/annotation/00380c30-7746-4144-9726-212d8d3d3bfc
64855 info:doi/10.1371/annotation/0038aa35-d9e2-4c48-86a0-d9bca6fd570f
17 info:doi/10.1371/annotation/003a8903-7471-4308-ad72-1cf5165ba5cc
19 info:doi/10.1371/annotation/003fe09e-ec06-40c8-8d78-2db73a77a84e
54129 info:doi/10.1371/annotation/0042ebdb-614a-47f7-a5f4-779bc0cc52c5
50395 info:doi/10.1371/annotation/0042f85e-6e73-48ef-aac2-398e973b0643
21 info:doi/10.1371/annotation/0043aae2-f69d-4a05-ab19-4709704eb749
43361 info:doi/10.1371/annotation/0046bd9e-1211-432c-b762-94e7d7b33d08
23 info:doi/10.1371/annotation/0046f919-e90f-46b1-92b5-ca5da3a09a56
55847 info:doi/10.1371/annotation/00480c25-9ae2-41e9-9d5f-cdd5bc9c6a16
25 info:doi/10.1371/annotation/0058c8ef-3c65-4646-b741-3903c4fa9aca
27 info:doi/10.1371/annotation/005c60cb-6f40-4e61-990f-0d44310e5f1d
75731 info:doi/10.1371/annotation/005d1fae-46c0-4618-b1a2-ff855f6fea9f
29 info:doi/10.1371/annotation/0060a3b6-fd02-4f26-ba99-1b77233ac6b4
31 info:doi/10.1371/annotation/0066aa34-76e9-47af-96a8-a660f2170e48
33 info:doi/10.1371/annotation/0071b027-799b-49ee-9090-85791d304a8c
35 info:doi/10.1371/annotation/00721b19-36ed-4533-b4da-57197fd4cdd0
50559 info:doi/10.1371/annotation/007513af-c1c8-4a5d-8340-9ea9150ca12a
87159 info:doi/10.1371/annotation/0078da8b-9567-40b9-899f-52f90c3d5b53
37 info:doi/10.1371/annotation/0082b65d-5d53-43fa-8195-0ac29b212a7a
39 info:doi/10.1371/annotation/00851820-a079-4fe2-a6b0-6ecd798e0827
75619 info:doi/10.1371/annotation/00853623-8846-419b-8898-cb6de2e620ce
82450 info:doi/10.1371/annotation/008590d2-3b38-4f5c-a804-4f596f2d76c7
41 info:doi/10.1371/annotation/0085b130-0303-4117-a7d1-8fe7bb65b962
86299 info:doi/10.1371/annotation/00862062-60af-4db8-8aed-b5aa3eb3949d
62249 info:doi/10.1371/annotation/00880050-60e7-4148-a6e6-855856f60fa7
68441 info:doi/10.1371/annotation/0088ba07-8bc2-49b6-a000-b1b626e51604
43 info:doi/10.1371/annotation/0088fd05-6ce4-489b-8281-70e6e8863587
45 info:doi/10.1371/annotation/0089d6fb-e59e-4455-867d-efaf915290c0
62803 info:doi/10.1371/annotation/008a68f7-2082-4d3d-be17-21e72229978f
52349 info:doi/10.1371/annotation/008cf1d1-f5c6-4c53-8e6c-b7eb53960abc
52517 info:doi/10.1371/annotation/008e2336-6fa9-43eb-ae12-0ea4cc74ec69
47 info:doi/10.1371/annotation/00916903-2adb-4c86-a9cc-c9497fc16475
61893 info:doi/10.1371/annotation/00976b2c-dc72-43b0-9604-2c9a20fb87d9
87551 info:doi/10.1371/annotation/009a1e60-720c-421a-ae8d-611b17994df1
49 info:doi/10.1371/annotation/009c718a-2f8b-4960-be56-281058af5dbf
78381 info:doi/10.1371/annotation/009db515-0671-44da-87ec-181a8d788209
71009 info:doi/10.1371/annotation/00a4b426-e16d-43f7-aa0c-6633a09d6aa6
53 info:doi/10.1371/annotation/00a5ad58-ccb7-49a3-a6c5-9986a4debcf4
60777 info:doi/10.1371/annotation/00a97fad-577a-4743-882c-701ac6020689
64305 info:doi/10.1371/annotation/00ab0726-859f-4543-b469-2cb01d564458
55 info:doi/10.1371/annotation/00acfbc4-1cb8-4590-8e47-c7316380cf91
64751 info:doi/10.1371/annotation/00b0df67-b18e-432b-aa3c-9635e9938c23
54601 info:doi/10.1371/annotation/00b5c038-cec4-4556-984f-74a433347e39
57 info:doi/10.1371/annotation/00b84e02-1366-4c77-b8bc-e568217cb3fd
70179 info:doi/10.1371/annotation/00bc76d0-2e23-470f-8726-39d372153515
77265 info:doi/10.1371/annotation/00bd9c6c-f72f-4f00-97ad-76b7fe074a41
85542 info:doi/10.1371/annotation/00bdca4b-1a48-4c35-8af9-7fd09391fe8d
59 info:doi/10.1371/annotation/00c0b913-a5d3-48e5-aca5-2781a6526da6
61 info:doi/10.1371/annotation/00c19f14-2de1-4880-927f-aaa807fb746a
88474 info:doi/10.1371/annotation/00c255fe-9239-494e-b339-497397bff6d8
71119 info:doi/10.1371/annotation/00c3d599-7b3c-4b0c-8b4b-5c37db96f028
60727 info:doi/10.1371/annotation/00c5c6e7-32b7-4e1f-b5e2-6720416e693a
64233 info:doi/10.1371/annotation/00cca0a0-6a54-4410-a52d-5615352c780d
87369 info:doi/10.1371/annotation/00d034fe-0597-48ac-8279-457cf6fc97b8
63 info:doi/10.1371/annotation/00d14d27-edb2-41bb-b0b4-4555d2b50e9b
65 info:doi/10.1371/annotation/00d24fe0-27a8-4f06-867a-536419d4354d
79503 info:doi/10.1371/annotation/00d3619d-d087-49e0-a71e-74e9fd454818
87968 info:doi/10.1371/annotation/00d7ec0b-df05-46c9-8d5f-54d7bcb635ca
67 info:doi/10.1371/annotation/00db0b4f-b785-45ce-a403-b008939d38b2
87268 info:doi/10.1371/annotation/00e09d7c-c0de-4bb8-be05-ba66090c0008
83942 info:doi/10.1371/annotation/00e11cf7-a7f6-409f-a0f1-69ff0163d047
